EmployeeID,Age,Gender,Department,City,Experience,Salary,PerformanceScore,TrainingHours,Status
EMP0001,22,Female,HR,Bengaluru,27.0,117587.14,3,57.5,Active
EMP0002,30,Male,Operations,Hyderabad,12.7,66709.8,4,26.3,Active
EMP0003,32,Male,Marketing,Chennai,8.3,65368.09,4,43.9,On Leave
EMP0004,33,Male,Sales,Bengaluru,17.8,99707.1,4,26.9,Active
EMP0005,31,Female,IT,Coimbatore,27.4,140286.73,3,29.3,Active
EMP0006,39,Male,IT,Coimbatore,6.3,67001.63,5,19.1,Active
EMP0007,55,Female,IT,Bengaluru,18.7,106664.38,4,9.8,Inactive
EMP0008,59,Male,Operations,Mumbai,18.9,112068.91,3,55.8,Active
EMP0009,46,Female,Sales,Pune,22.0,101192.77,4,28.1,Active
EMP0010,34,Male,Sales,Chennai,3.9,44022.02,3,29.4,Active
EMP0011,44,Female,IT,Chennai,21.5,117423.96,3,28.3,Active
EMP0012,21,Male,Operations,Chennai,27.3,116404.49,3,39.2,Active
EMP0013,42,Male,Marketing,Bengaluru,5.4,52493.16,4,13.9,Active
EMP0014,43,Male,IT,Mumbai,7.1,81141.76,3,10.4,Active
EMP0015,39,Male,IT,Hyderabad,29.1,145017.09,4,9.8,Active
EMP0016,38,Female,IT,Coimbatore,5.4,63745.61,3,13.8,Active
EMP0017,32,Male,HR,Bengaluru,25.6,112518.68,3,4.0,Active
EMP0018,48,Male,Finance,Hyderabad,14.8,86869.11,5,28.3,Active
EMP0019,48,Female,Finance,Coimbatore,7.4,62898.43,4,15.9,Active
EMP0020,53,Male,HR,Coimbatore,26.1,121808.28,5,20.6,On Leave
EMP0021,39,Male,Sales,Mumbai,13.4,94153.15,3,37.5,Active
EMP0022,48,Female,IT,Pune,15.4,101361.53,2,65.8,On Leave
EMP0023,57,Male,HR,Chennai,10.8,61908.34,4,15.9,Active
EMP0024,46,Female,HR,Hyderabad,17.8,97272.04,4,16.3,Active
EMP0025,55,Male,Finance,Bengaluru,4.9,61135.77,2,24.5,Active
EMP0026,54,Male,Marketing,Hyderabad,11.7,85071.19,3,21.1,Active
EMP0027,55,Female,IT,Pune,29.1,157494.33,4,74.2,Active
EMP0028,60,Female,Finance,Chennai,7.7,58829.25,3,7.8,Active
EMP0029,36,Male,Sales,Hyderabad,19.7,99463.14,4,29.0,Active
EMP0030,58,Female,IT,Pune,9.8,67239.38,3,15.7,Active
EMP0031,33,Male,Sales,Bengaluru,23.2,116327.84,3,23.6,Active
EMP0032,43,Male,IT,Mumbai,3.9,60380.87,5,21.8,Active
EMP0033,42,Female,IT,Coimbatore,29.1,152748.68,3,38.6,Active
EMP0034,36,Male,Operations,Bengaluru,13.6,80992.39,3,27.6,Inactive
EMP0035,48,Male,Operations,Chennai,7.1,56291.22,4,24.1,On Leave
EMP0036,55,Female,Marketing,Coimbatore,2.2,43914.06,3,45.3,Active
EMP0037,28,Female,HR,Bengaluru,5.1,44168.86,3,24.9,Active
EMP0038,42,Male,IT,Bengaluru,15.6,114316.31,4,6.1,Inactive
EMP0039,41,Male,Sales,Bengaluru,10.1,59488.71,3,35.1,Active
EMP0040,46,Female,Finance,Bengaluru,24.9,128627.92,3,29.6,Active
EMP0041,60,Female,IT,Coimbatore,12.9,104338.85,3,41.4,On Leave
EMP0042,41,Female,Finance,Chennai,7.5,66304.4,3,34.7,Active
EMP0043,45,Male,IT,Pune,18.5,106229.69,4,14.9,Active
EMP0044,21,Male,Operations,Hyderabad,21.2,105340.44,4,1.8,Active
EMP0045,26,Male,IT,Mumbai,5.0,59056.87,2,39.3,Active
EMP0046,43,Female,Sales,Hyderabad,5.0,65482.79,4,24.5,On Leave
EMP0047,43,Female,HR,Hyderabad,1.1,25000.0,5,16.9,Active
EMP0048,43,Female,Finance,Mumbai,22.1,129617.47,3,15.9,Active
EMP0049,52,Female,Sales,Coimbatore,19.9,95258.34,4,26.9,Active
EMP0050,50,Male,IT,Chennai,14.2,90566.78,3,18.5,Active
EMP0051,33,Male,Operations,Mumbai,25.3,119116.04,4,10.7,Active
EMP0052,38,Male,Marketing,Chennai,24.2,124408.43,5,9.6,Inactive
EMP0053,43,Male,Operations,Coimbatore,17.6,82815.01,2,21.9,Active
EMP0054,35,Male,Operations,Hyderabad,26.0,128697.38,3,14.4,Active
EMP0055,53,Male,Sales,Chennai,6.2,74894.48,3,12.4,Inactive
EMP0056,41,Female,Operations,Coimbatore,3.4,34994.61,3,49.1,Active
EMP0057,59,Female,IT,Coimbatore,8.1,72867.65,2,13.3,On Leave
EMP0058,43,Male,IT,Pune,1.7,43654.14,4,30.2,Active
EMP0059,47,Male,IT,Mumbai,15.9,102057.1,1,32.2,Active
EMP0060,38,Male,HR,Pune,28.1,131503.18,3,11.7,Active
EMP0061,44,Female,Finance,Hyderabad,1.2,39068.1,4,12.0,On Leave
EMP0062,60,Female,IT,Mumbai,3.7,59852.98,3,10.7,Active
EMP0063,27,Female,Marketing,Hyderabad,13.6,97034.78,5,15.2,Active
EMP0064,40,Male,HR,Pune,28.0,129472.77,4,29.4,Active
EMP0065,47,Male,HR,Coimbatore,9.5,72008.06,3,22.4,Active
