HouseID,Bedrooms,Bathrooms,AreaSqFt,YearBuilt,Location,PropertyType,ParkingSpaces,HousePrice
HOUSE0001,4,1.0,555,1970,Urban,Townhouse,2,316187
HOUSE0002,5,3.5,1025,1999,Urban,Apartment,3,525414
HOUSE0003,3,3.5,4623,2018,Suburban,Independent House,2,1172555
HOUSE0004,5,3.0,2625,1972,Suburban,Independent House,3,751919
HOUSE0005,5,4.0,3787,2014,Suburban,Apartment,1,1030954
HOUSE0006,2,1.5,864,1983,Suburban,Townhouse,2,429724
HOUSE0007,3,1.5,2146,2025,Rural,Villa,0,706566
HOUSE0008,3,3.5,1418,1999,Urban,Independent House,1,617921
HOUSE0009,3,3.0,3297,2019,Urban,Apartment,0,770389
HOUSE0010,5,2.5,2031,1973,Urban,Apartment,1,622527
HOUSE0011,4,1.5,3845,1987,Suburban,Independent House,2,965545
HOUSE0012,3,2.5,2406,2006,Suburban,Villa,3,762432
HOUSE0013,6,4.0,3586,1994,Urban,Apartment,1,1011462
HOUSE0014,5,1.5,2575,2017,Suburban,Independent House,3,853697
HOUSE0015,2,1.5,1213,1970,Suburban,Villa,1,396162
HOUSE0016,4,2.0,1562,2022,Suburban,Apartment,0,472906
HOUSE0017,6,1.5,2476,2015,Suburban,Independent House,0,778721
HOUSE0018,6,1.0,1796,1984,Urban,Apartment,1,635901
HOUSE0019,2,3.0,625,1978,Suburban,Townhouse,3,376804
HOUSE0020,4,3.0,4096,1984,Suburban,Independent House,2,1030424
HOUSE0021,5,2.5,3783,2018,Urban,Apartment,2,1048416
HOUSE0022,1,4.0,2103,2026,Suburban,Independent House,0,680714
HOUSE0023,4,1.5,566,1993,Urban,Independent House,2,392557
HOUSE0024,2,1.0,732,1973,Suburban,Villa,0,355731
HOUSE0025,6,2.5,2656,1981,Suburban,Villa,2,884655
HOUSE0026,5,2.0,1669,2006,Suburban,Independent House,1,619394
HOUSE0027,4,2.5,2658,2006,Suburban,Apartment,0,686526
HOUSE0028,1,2.5,4706,2012,Urban,Apartment,0,1040592
HOUSE0029,1,1.5,1993,1975,Suburban,Apartment,1,501425
HOUSE0030,3,2.0,4507,2008,Urban,Independent House,0,1108548
HOUSE0031,3,2.5,2972,2025,Urban,Townhouse,2,853493
HOUSE0032,2,1.0,3160,2015,Rural,Independent House,2,680547
HOUSE0033,4,1.0,3239,1993,Urban,Apartment,0,821245
HOUSE0034,4,3.0,2261,1980,Suburban,Independent House,2,641280
HOUSE0035,6,2.0,4014,1982,Suburban,Villa,3,1190874
HOUSE0036,6,2.0,2475,2003,Urban,Villa,0,878464
HOUSE0037,6,3.0,2862,1994,Urban,Townhouse,1,827948
HOUSE0038,3,2.5,1376,1976,Urban,Apartment,3,500603
HOUSE0039,4,2.0,4312,2021,Rural,Apartment,0,1049695
HOUSE0040,4,1.0,3948,1973,Suburban,Townhouse,1,953581
HOUSE0041,1,1.0,1812,1977,Urban,Independent House,2,545356
HOUSE0042,3,1.5,1960,1989,Suburban,Independent House,1,516095
HOUSE0043,5,2.0,3209,1998,Suburban,Villa,3,1072100
HOUSE0044,3,2.5,2824,2023,Urban,Villa,2,907639
HOUSE0045,5,3.0,2233,2022,Suburban,Independent House,0,782829
HOUSE0046,1,3.0,2105,2020,Suburban,Independent House,2,618432
HOUSE0047,2,2.5,3063,2014,Rural,Independent House,0,793815
HOUSE0048,4,4.0,3921,2015,Urban,Independent House,0,1129924
HOUSE0049,1,3.5,4017,1979,Urban,Independent House,1,999067
HOUSE0050,4,1.5,2897,2012,Urban,Townhouse,1,866453
HOUSE0051,6,3.0,4235,2003,Suburban,Townhouse,1,1090778
HOUSE0052,2,2.0,3370,2026,Urban,Townhouse,3,891902
HOUSE0053,2,1.5,1660,1995,Suburban,Apartment,3,501515
HOUSE0054,1,2.0,742,2010,Suburban,Villa,1,420364
HOUSE0055,2,4.0,3090,2018,Suburban,Villa,3,1077960
HOUSE0056,5,1.0,1563,1972,Suburban,Independent House,2,493922
HOUSE0057,2,1.5,4824,2025,Rural,Villa,2,1228224
HOUSE0058,4,3.0,3095,1975,Suburban,Townhouse,3,856760
HOUSE0059,4,1.5,1419,1974,Suburban,Independent House,3,527514
HOUSE0060,4,1.5,505,1974,Urban,Independent House,2,453494
HOUSE0061,4,1.5,967,2023,Rural,Apartment,0,392379
HOUSE0062,5,3.5,4670,2016,Urban,Independent House,2,1208855
HOUSE0063,3,1.5,503,1992,Urban,Independent House,2,390327
HOUSE0064,6,2.0,1145,2018,Urban,Villa,3,699341
HOUSE0065,1,1.0,617,1978,Suburban,Apartment,2,265624
HOUSE0066,4,4.0,3428,2004,Urban,Apartment,3,999294
HOUSE0067,2,2.5,3051,1989,Urban,Independent House,3,792826
HOUSE0068,4,1.5,4789,2018,Urban,Apartment,1,1211187
HOUSE0069,2,3.0,1346,2011,Urban,Apartment,2,499535
HOUSE0070,6,1.5,3262,2004,Suburban,Apartment,0,879941
HOUSE0071,6,3.0,1641,2019,Suburban,Apartment,1,653832
HOUSE0072,6,2.0,2310,1987,Urban,Apartment,3,769369
HOUSE0073,2,3.0,1223,1986,Suburban,Independent House,3,466685
HOUSE0074,4,2.5,724,1993,Suburban,Independent House,0,371290
HOUSE0075,6,1.0,4708,1972,Urban,Townhouse,3,1158190
HOUSE0076,5,3.0,2548,2001,Urban,Independent House,2,909899
HOUSE0077,2,3.0,4915,2004,Rural,Villa,1,1141007
HOUSE0078,2,1.0,2073,2007,Suburban,Apartment,3,538378
HOUSE0079,4,2.5,2328,1982,Urban,Apartment,3,669083
HOUSE0080,2,1.5,2417,2025,Suburban,Villa,0,767648
HOUSE0081,2,3.0,4734,2016,Urban,Apartment,2,1051885
HOUSE0082,6,1.0,2526,1994,Suburban,Independent House,3,712602
HOUSE0083,4,2.0,4244,1978,Urban,Independent House,0,1029272
HOUSE0084,6,1.0,1401,1973,Urban,Independent House,3,528191
HOUSE0085,6,2.0,2539,1983,Urban,Apartment,0,691106
HOUSE0086,4,2.5,509,2006,Rural,Independent House,0,268607
HOUSE0087,1,1.5,760,2003,Suburban,Independent House,2,302869
HOUSE0088,6,1.0,2173,1980,Urban,Apartment,3,736502
HOUSE0089,5,4.0,2719,2010,Urban,Independent House,2,939005
HOUSE0090,5,4.0,2560,2025,Suburban,Villa,0,1002550
HOUSE0091,2,3.5,4213,1972,Urban,Townhouse,1,1097658
HOUSE0092,5,3.0,2119,1997,Urban,Apartment,3,760936
HOUSE0093,2,2.5,820,1998,Rural,Townhouse,1,377384
HOUSE0094,1,1.0,1842,1978,Urban,Independent House,3,559515
HOUSE0095,4,4.0,2876,1972,Suburban,Independent House,2,834873
HOUSE0096,4,3.0,3332,1994,Rural,Apartment,2,916540
HOUSE0097,4,4.0,3324,2003,Urban,Villa,2,1075281
HOUSE0098,5,1.0,2494,1981,Urban,Apartment,2,779582
HOUSE0099,1,2.0,3458,2011,Urban,Independent House,2,842722
HOUSE0100,5,1.0,2538,1978,Suburban,Apartment,1,640928
HOUSE0101,5,3.5,3990,1984,Rural,Villa,2,1105403
HOUSE0102,1,1.0,4177,2009,Suburban,Villa,0,1031957
HOUSE0103,1,1.0,1618,1994,Urban,Villa,0,554843
HOUSE0104,1,3.5,2104,1974,Suburban,Apartment,1,656689
HOUSE0105,1,2.5,4527,1980,Rural,Apartment,3,954290
HOUSE0106,4,1.0,735,2003,Suburban,Independent House,0,360564
HOUSE0107,3,3.5,2469,1993,Rural,Independent House,3,706401
HOUSE0108,3,3.0,4929,1984,Suburban,Apartment,1,1099091
HOUSE0109,1,2.0,2408,2007,Suburban,Independent House,3,677030
HOUSE0110,3,2.0,875,1977,Suburban,Townhouse,3,311014
HOUSE0111,3,1.0,4030,1974,Urban,Villa,3,1146597
HOUSE0112,1,2.5,3135,2017,Urban,Villa,3,1016941
HOUSE0113,3,2.5,2070,1995,Suburban,Townhouse,1,685916
HOUSE0114,5,3.0,3060,1987,Urban,Apartment,0,859272
HOUSE0115,2,1.0,3891,1975,Rural,Independent House,2,884304
HOUSE0116,2,2.0,3465,2006,Rural,Townhouse,3,783389
HOUSE0117,1,2.5,4143,2017,Suburban,Apartment,0,966585
HOUSE0118,4,1.0,4350,1982,Urban,Villa,0,1150789
HOUSE0119,1,4.0,1372,1997,Urban,Independent House,1,498140
HOUSE0120,4,2.5,1752,1974,Urban,Independent House,0,641197
HOUSE0121,2,3.5,1814,1982,Suburban,Independent House,1,603892
HOUSE0122,1,4.0,3398,1986,Suburban,Townhouse,3,844670
HOUSE0123,6,2.5,577,2019,Rural,Villa,3,558379
HOUSE0124,5,2.0,3121,2009,Suburban,Apartment,2,794794
HOUSE0125,3,1.5,4727,2014,Rural,Townhouse,2,1129619
HOUSE0126,4,4.0,1100,2001,Rural,Apartment,2,399059
HOUSE0127,6,3.0,1565,1998,Urban,Independent House,0,616829
HOUSE0128,3,3.0,2636,2020,Rural,Independent House,3,755396
HOUSE0129,3,2.0,2949,1972,Urban,Independent House,1,844746
HOUSE0130,1,2.5,2843,2025,Urban,Independent House,2,860237
HOUSE0131,3,1.0,2363,2009,Suburban,Townhouse,1,654699
HOUSE0132,5,2.5,1818,2003,Urban,Villa,1,810291
HOUSE0133,6,2.0,4097,2009,Suburban,Independent House,2,1002607
HOUSE0134,3,3.0,4262,1996,Suburban,Apartment,3,980194
HOUSE0135,1,2.5,2690,1982,Suburban,Townhouse,2,635452
HOUSE0136,5,3.0,1492,2014,Urban,Townhouse,1,692771
HOUSE0137,2,4.0,3212,2002,Suburban,Villa,2,978093
HOUSE0138,6,1.0,2692,1975,Suburban,Apartment,1,732593
HOUSE0139,3,4.0,1748,1993,Suburban,Apartment,1,568127
HOUSE0140,1,3.0,3554,1988,Suburban,Apartment,2,895537
HOUSE0141,2,3.0,4533,1985,Urban,Apartment,0,1022231
HOUSE0142,2,1.5,2497,2009,Suburban,Independent House,2,624357
HOUSE0143,4,1.5,4187,1997,Urban,Townhouse,0,1085220
HOUSE0144,5,4.0,2651,2002,Suburban,Independent House,1,826472
HOUSE0145,3,3.5,4518,2017,Suburban,Apartment,1,1120124
HOUSE0146,1,4.0,3610,2010,Suburban,Apartment,0,845362
HOUSE0147,4,1.5,2470,1982,Suburban,Apartment,1,608866
HOUSE0148,5,3.0,697,2012,Rural,Apartment,0,387801
HOUSE0149,4,2.0,3126,2014,Suburban,Apartment,0,804789
HOUSE0150,6,4.0,1702,1994,Rural,Apartment,1,591207
HOUSE0151,5,3.0,2535,2022,Suburban,Villa,3,997329
