LoanID,Age,Gender,Married,Dependents,Education,SelfEmployed,EmploymentType,CreditHistory,PropertyArea,LoanPurpose,LoanTermMonths,ApplicantIncome,CoapplicantIncome,LoanAmount,LoanStatus
LOAN00001,59,Female,No,1,Graduate,No,Salaried,Good,Semiurban,Personal,360,39577,3296,192937,Approved
LOAN00002,49,Female,No,1,Graduate,No,Business Owner,Good,Semiurban,Vehicle,240,40680,6131,166815,Approved
LOAN00003,35,Male,Yes,0,Graduate,No,Government,Good,Rural,Home,360,49001,10262,144545,Approved
LOAN00004,63,Female,No,2,Not Graduate,No,Business Owner,Poor,Urban,Home,360,79765,10121,381431,Rejected
LOAN00005,28,Male,Yes,0,Graduate,No,Freelancer,Good,Urban,Home,360,45210,12048,157967,Approved
LOAN00006,41,Female,Yes,3+,Graduate,No,Business Owner,Good,Rural,Home,120,45767,18410,196599,Approved
LOAN00007,59,Female,Yes,3+,Not Graduate,No,Government,Good,Semiurban,Education,360,22190,41228,135298,Approved
LOAN00008,39,Female,Yes,3+,Graduate,No,Salaried,Good,Semiurban,Medical,300,91299,4277,376876,Approved
LOAN00009,43,Female,Yes,1,Graduate,No,Business Owner,Good,Semiurban,Business,240,29322,8226,105990,Approved
LOAN00010,31,Male,No,2,Graduate,No,Salaried,Good,Semiurban,Vehicle,240,10973,26784,152155,Rejected
LOAN00011,31,Female,Yes,2,Graduate,Yes,Freelancer,Good,Rural,Vehicle,360,13042,12835,71215,Approved
LOAN00012,44,Female,No,0,Graduate,No,Freelancer,Good,Rural,Personal,360,42036,4890,186663,Approved
LOAN00013,56,Female,Yes,1,Not Graduate,No,Salaried,Good,Semiurban,Home,120,20478,8688,86029,Approved
LOAN00014,60,Male,Yes,0,Graduate,Yes,Freelancer,Good,Urban,Vehicle,360,37205,12377,198202,Approved
LOAN00015,44,Male,Yes,1,Graduate,No,Salaried,Good,Semiurban,Personal,180,18534,6948,84839,Approved
LOAN00016,23,Male,No,0,Graduate,No,Salaried,Poor,Semiurban,Home,180,41659,17593,114070,Rejected
LOAN00017,42,Female,No,0,Not Graduate,Yes,Salaried,Good,Semiurban,Home,360,46813,5604,113639,Approved
LOAN00018,22,Female,No,0,Graduate,No,Salaried,Average,Semiurban,Medical,240,39306,7620,132416,Approved
LOAN00019,44,Male,No,0,Graduate,Yes,Salaried,Good,Urban,Vehicle,240,26546,1937,124923,Approved
LOAN00020,64,Male,Yes,1,Graduate,No,Salaried,Good,Semiurban,Home,240,53925,5070,230571,Approved
LOAN00021,50,Female,Yes,0,Graduate,No,Freelancer,Good,Semiurban,Business,360,30342,27972,165484,Approved
LOAN00022,58,Female,No,1,Graduate,No,Government,Good,Rural,Education,300,33364,5028,158015,Approved
LOAN00023,22,Female,Yes,0,Graduate,No,Business Owner,Good,Semiurban,Education,360,28872,9957,141942,Approved
LOAN00024,41,Female,Yes,1,Not Graduate,No,Salaried,Good,Urban,Education,240,32191,18119,125255,Approved
LOAN00025,53,Male,Yes,1,Graduate,No,Government,Average,Semiurban,Home,360,84294,8065,355301,Approved
LOAN00026,32,Male,Yes,1,Graduate,No,Freelancer,Average,Rural,Business,240,36235,24751,181275,Approved
LOAN00027,42,Female,Yes,2,Graduate,No,Salaried,Good,Semiurban,Vehicle,300,20510,11609,101239,Approved
LOAN00028,64,Female,Yes,0,Graduate,No,Government,Good,Semiurban,Personal,360,23584,18635,91820,Approved
LOAN00029,45,Female,Yes,2,Graduate,No,Salaried,Average,Semiurban,Home,240,32071,7491,160287,Rejected
LOAN00030,47,Female,Yes,0,Graduate,No,Business Owner,Average,Urban,Personal,300,25398,12952,42993,Approved
